Severity,Check,TenderKey,Authority,Detail,Value
HIGH,SOURCE_UNHEALTHY,,,SECI_AWARDED returned FAILED,fetch failed for https://www.seci.co.in/Bidder/view/tender/results/all-award/list/bidder: 500 Server Error: Internal Ser
LOW,WINNER_NOT_FOUND,T-14b219a5ac11,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-7c9a4ab50607,NTPC,material tender closed with no winner found yet,260.0
LOW,WINNER_NOT_FOUND,T-d8fe1d193335,NTPC,material tender closed with no winner found yet,130.0
LOW,WINNER_NOT_FOUND,T-8572ea4e6c43,NTPC,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-b94f3b4c0308,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-51bcbee78be9,NTPC,material tender closed with no winner found yet,750.0
LOW,WINNER_NOT_FOUND,T-62813dc9a0ca,NTPC,material tender closed with no winner found yet,350.0
LOW,WINNER_NOT_FOUND,T-c1c9a767d938,NTPC,material tender closed with no winner found yet,50.0
LOW,WINNER_NOT_FOUND,T-11b4e8d84ec1,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-5253bb106eb9,NTPC,material tender closed with no winner found yet,750.0
LOW,WINNER_NOT_FOUND,T-cf8e9e17fdc8,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-15daded0fe3c,NTPC,material tender closed with no winner found yet,50.0
LOW,WINNER_NOT_FOUND,T-b303d7a1b2a2,NTPC,material tender closed with no winner found yet,625.0
LOW,WINNER_NOT_FOUND,T-0029e937e68a,NTPC,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-1f1d044d99d5,NTPC,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-028c77ab317f,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-3347736b306a,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-3c8d2f1c74de,NTPC,material tender closed with no winner found yet,750.0
LOW,WINNER_NOT_FOUND,T-87dbce87bc84,NTPC,material tender closed with no winner found yet,800.0
LOW,WINNER_NOT_FOUND,T-a20adbdabbc4,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-917ecf03e16f,NTPC,material tender closed with no winner found yet,86.0
LOW,WINNER_NOT_FOUND,T-bdad7ad70c85,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-393760614a19,NTPC,material tender closed with no winner found yet,225.0
LOW,WINNER_NOT_FOUND,T-ed03dd1e13ae,NTPC,material tender closed with no winner found yet,250.0
LOW,WINNER_NOT_FOUND,T-80096b52963a,NTPC,material tender closed with no winner found yet,2000.0
LOW,WINNER_NOT_FOUND,T-1990e7256edf,NTPC,material tender closed with no winner found yet,2000.0
LOW,WINNER_NOT_FOUND,T-b2c375eb88a2,NTPC,material tender closed with no winner found yet,65.0
LOW,WINNER_NOT_FOUND,T-c490075c3d6b,NTPC,material tender closed with no winner found yet,70.0
LOW,WINNER_NOT_FOUND,T-2f139ac31969,NTPC,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-8302af7c3e94,NTPC,material tender closed with no winner found yet,1000.0
LOW,WINNER_NOT_FOUND,T-d8ea428e3ff7,NTPC,material tender closed with no winner found yet,1000.0
LOW,WINNER_NOT_FOUND,T-6a5bc0145ac2,NTPC,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-1e86f19373c0,NTPC,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-bebe9e3dd6ab,NTPC,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-934aef4f77f1,NTPC,material tender closed with no winner found yet,1000.0
LOW,WINNER_NOT_FOUND,T-95def88bd9bd,NTPC,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-53f7c46ff920,NTPC,material tender closed with no winner found yet,1000.0
LOW,WINNER_NOT_FOUND,T-25830e4ec543,NTPC,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-110f999350f3,NTPC,material tender closed with no winner found yet,500.0
LOW,WINNER_NOT_FOUND,T-68938593bd6b,NTPC,material tender closed with no winner found yet,923.0
LOW,WINNER_NOT_FOUND,T-f7e5c1496f90,NTPC,material tender closed with no winner found yet,600.0
HIGH,POSSIBLE_DUPLICATE,f3fea2a5581e,SECI,same reference number on two records,SECI/CP/SPD/RFS/AN/4MW/012020
HIGH,POSSIBLE_DUPLICATE,db2d9d41e1fd,SECI,same reference number on two records,SECI/CP/NIT/ITNETWORKAV/042020
LOW,WINNER_NOT_FOUND,T-8df1f96ff222,NTPC,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-cd9f5c9e69c5,SECI,material tender closed with no winner found yet,2000.0
HIGH,POSSIBLE_DUPLICATE,cd9f5c9e69c5,SECI,same reference number on two records,SECI/CP/SPD/ISTS-IX/RFS/2000MW/032020
LOW,WINNER_NOT_FOUND,cd9f5c9e69c5,SECI,material tender closed with no winner found yet,2000.0
HIGH,POSSIBLE_DUPLICATE,4b6721edc0f4,SECI,same reference number on two records,SECI/CP/NIT/2020/SCCL32
HIGH,POSSIBLE_DUPLICATE,e9d93b092016,SECI,same reference number on two records,SECI/CP/PSS/2020/01
